sequential_execution_time,average_parallel_line_executions,parallel_execution_fraction,arrays_count,total_array_elements,total_array_size_bytes,avg_array_size_bytes,max_array_dimension,min_array_dimension,avg_array_dimension,shadow_renew_count,shadow_renew_unique_arrays,across_count,across_total_width,across_max_width,across_avg_width,most_common_comm_pattern,comm_pattern_count,remote_access_count,reduction_count,total_reduction_size,reduction_operation_types,most_common_reduction_op,most_common_reduction_freq,parallel_directives_count,min_computational_intensity,max_computational_intensity,avg_computational_intensity,std_computational_intensity,total_iteration_count,total_loops_count,avg_iterations_per_loop,max_loop_depth,avg_loop_depth,total_dependencies,avg_dependencies_per_parallel,shadow_renews_in_parallel,across_in_parallel,computation_to_communication_ratio,memory_to_computation_ratio,parallel_fraction_efficiency_potential,launch_grid_1,launch_grid_2,launch_grid_3,launch_grid_4,launch_threads,launch_total_processors,dvmh_num_threads,dvmh_grid_size,processor_utilization,threads_per_dvmh_proc,parallelism_degree,is_power_of_two_threads,is_power_of_two_grid,potential_contention,oversubscription_factor,target_speedup,parallel_execution_time,program_name,launch_config,normalized_parallel_time
0.0,11.75,0.4051724137931034,2,2,8,4.0,1,1,1.0,0,0,1,2,2,2.0,NEAREST_NEIGHBOR,1,0,1,4,1,min,1,3,0.5,1.0,0.8333333333333334,0.23570226039551584,49,3,16.333333333333332,1,1.0,1,0.3333333333333333,1,0,0.41666645833343746,0.16326530279050402,0.33764367816091956,3,1,1,1,12,36,12.0,3,1.0,12.0,36,0,0,1,12.0,0.24741760944417115,0.2033,acr1101,grid=[3]_threads=12,inf
0.0,11.75,0.4051724137931034,2,2,8,4.0,1,1,1.0,0,0,1,2,2,2.0,NEAREST_NEIGHBOR,1,0,1,4,1,min,1,3,0.5,1.0,0.8333333333333334,0.23570226039551584,49,3,16.333333333333332,1,1.0,1,0.3333333333333333,1,0,0.41666645833343746,0.16326530279050402,0.33764367816091956,1,1,1,1,10,10,10.0,1,1.0,10.0,10,0,1,1,10.0,0.8982142857142856,0.056,acr1101,grid=[1]_threads=10,inf
0.0,11.75,0.4051724137931034,2,2,8,4.0,1,1,1.0,0,0,1,2,2,2.0,NEAREST_NEIGHBOR,1,0,1,4,1,min,1,3,0.5,1.0,0.8333333333333334,0.23570226039551584,49,3,16.333333333333332,1,1.0,1,0.3333333333333333,1,0,0.41666645833343746,0.16326530279050402,0.33764367816091956,1,1,1,1,17,17,17.0,1,1.0,17.0,17,0,1,1,17.0,0.18218036943136542,0.2761,acr1101,grid=[1]_threads=17,inf
0.0,11.75,0.4051724137931034,2,2,8,4.0,1,1,1.0,0,0,1,2,2,2.0,NEAREST_NEIGHBOR,1,0,1,4,1,min,1,3,0.5,1.0,0.8333333333333334,0.23570226039551584,49,3,16.333333333333332,1,1.0,1,0.3333333333333333,1,0,0.41666645833343746,0.16326530279050402,0.33764367816091956,1,1,1,1,25,25,25.0,1,1.0,25.0,25,0,1,1,25.0,0.4053182917002417,0.1241,acr1101,grid=[1]_threads=25,inf
0.0,11.75,0.4051724137931034,2,2,8,4.0,1,1,1.0,0,0,1,2,2,2.0,NEAREST_NEIGHBOR,1,0,1,4,1,min,1,3,0.5,1.0,0.8333333333333334,0.23570226039551584,49,3,16.333333333333332,1,1.0,1,0.3333333333333333,1,0,0.41666645833343746,0.16326530279050402,0.33764367816091956,1,1,1,1,22,22,22.0,1,1.0,22.0,22,0,1,1,22.0,0.4556159420289855,0.1104,acr1101,grid=[1]_threads=22,inf
0.0,11.75,0.4051724137931034,2,2,8,4.0,1,1,1.0,0,0,1,2,2,2.0,NEAREST_NEIGHBOR,1,0,1,4,1,min,1,3,0.5,1.0,0.8333333333333334,0.23570226039551584,49,3,16.333333333333332,1,1.0,1,0.3333333333333333,1,0,0.41666645833343746,0.16326530279050402,0.33764367816091956,1,1,1,1,31,31,31.0,1,1.0,31.0,31,0,1,1,31.0,0.6507115135834411,0.0773,acr1101,grid=[1]_threads=31,inf
0.0,11.75,0.4051724137931034,2,2,8,4.0,1,1,1.0,0,0,1,2,2,2.0,NEAREST_NEIGHBOR,1,0,1,4,1,min,1,3,0.5,1.0,0.8333333333333334,0.23570226039551584,49,3,16.333333333333332,1,1.0,1,0.3333333333333333,1,0,0.41666645833343746,0.16326530279050402,0.33764367816091956,1,1,1,1,28,28,28.0,1,1.0,28.0,28,0,1,1,28.0,0.4295473953885568,0.1171,acr1101,grid=[1]_threads=28,inf
0.0,11.75,0.4051724137931034,2,2,8,4.0,1,1,1.0,0,0,1,2,2,2.0,NEAREST_NEIGHBOR,1,0,1,4,1,min,1,3,0.5,1.0,0.8333333333333334,0.23570226039551584,49,3,16.333333333333332,1,1.0,1,0.3333333333333333,1,0,0.41666645833343746,0.16326530279050402,0.33764367816091956,4,1,1,1,32,128,32.0,4,1.0,32.0,128,1,1,1,32.0,0.1053182579564489,0.4776,acr1101,grid=[4]_threads=32,inf
0.0,11.75,0.4051724137931034,2,2,8,4.0,1,1,1.0,0,0,1,2,2,2.0,NEAREST_NEIGHBOR,1,0,1,4,1,min,1,3,0.5,1.0,0.8333333333333334,0.23570226039551584,49,3,16.333333333333332,1,1.0,1,0.3333333333333333,1,0,0.41666645833343746,0.16326530279050402,0.33764367816091956,6,1,1,1,30,180,30.0,6,1.0,30.0,180,0,0,1,30.0,0.050720984168599374,0.9917,acr1101,grid=[6]_threads=30,inf
0.0,11.75,0.4051724137931034,2,2,8,4.0,1,1,1.0,0,0,1,2,2,2.0,NEAREST_NEIGHBOR,1,0,1,4,1,min,1,3,0.5,1.0,0.8333333333333334,0.23570226039551584,49,3,16.333333333333332,1,1.0,1,0.3333333333333333,1,0,0.41666645833343746,0.16326530279050402,0.33764367816091956,2,1,1,1,22,44,22.0,2,1.0,22.0,44,0,1,1,22.0,0.22915717539863326,0.2195,acr1101,grid=[2]_threads=22,inf
0.0,11.75,0.4051724137931034,2,2,8,4.0,1,1,1.0,0,0,1,2,2,2.0,NEAREST_NEIGHBOR,1,0,1,4,1,min,1,3,0.5,1.0,0.8333333333333334,0.23570226039551584,49,3,16.333333333333332,1,1.0,1,0.3333333333333333,1,0,0.41666645833343746,0.16326530279050402,0.33764367816091956,3,1,1,1,18,54,18.0,3,1.0,18.0,54,0,0,1,18.0,0.18080517613227892,0.2782,acr1101,grid=[3]_threads=18,inf
0.0,11.75,0.4051724137931034,2,2,8,4.0,1,1,1.0,0,0,1,2,2,2.0,NEAREST_NEIGHBOR,1,0,1,4,1,min,1,3,0.5,1.0,0.8333333333333334,0.23570226039551584,49,3,16.333333333333332,1,1.0,1,0.3333333333333333,1,0,0.41666645833343746,0.16326530279050402,0.33764367816091956,1,1,1,1,12,12,12.0,1,1.0,12.0,12,0,1,1,12.0,0.7237410071942445,0.0695,acr1101,grid=[1]_threads=12,inf
0.0,11.75,0.4051724137931034,2,2,8,4.0,1,1,1.0,0,0,1,2,2,2.0,NEAREST_NEIGHBOR,1,0,1,4,1,min,1,3,0.5,1.0,0.8333333333333334,0.23570226039551584,49,3,16.333333333333332,1,1.0,1,0.3333333333333333,1,0,0.41666645833343746,0.16326530279050402,0.33764367816091956,1,1,1,1,1,1,1.0,1,1.0,1.0,1,1,1,0,1.0,1.0,0.0503,acr1101,grid=[1]_threads=1,inf
0.0,11.75,0.4051724137931034,2,2,8,4.0,1,1,1.0,0,0,1,2,2,2.0,NEAREST_NEIGHBOR,1,0,1,4,1,min,1,3,0.5,1.0,0.8333333333333334,0.23570226039551584,49,3,16.333333333333332,1,1.0,1,0.3333333333333333,1,0,0.41666645833343746,0.16326530279050402,0.33764367816091956,4,1,1,1,8,32,8.0,4,1.0,8.0,32,1,1,1,8.0,0.16204896907216493,0.3104,acr1101,grid=[4]_threads=8,inf
0.0,11.75,0.4051724137931034,2,2,8,4.0,1,1,1.0,0,0,1,2,2,2.0,NEAREST_NEIGHBOR,1,0,1,4,1,min,1,3,0.5,1.0,0.8333333333333334,0.23570226039551584,49,3,16.333333333333332,1,1.0,1,0.3333333333333333,1,0,0.41666645833343746,0.16326530279050402,0.33764367816091956,1,1,1,1,20,20,20.0,1,1.0,20.0,20,0,1,1,20.0,0.5449620801733478,0.0923,acr1101,grid=[1]_threads=20,inf
0.0,11.75,0.4051724137931034,2,2,8,4.0,1,1,1.0,0,0,1,2,2,2.0,NEAREST_NEIGHBOR,1,0,1,4,1,min,1,3,0.5,1.0,0.8333333333333334,0.23570226039551584,49,3,16.333333333333332,1,1.0,1,0.3333333333333333,1,0,0.41666645833343746,0.16326530279050402,0.33764367816091956,7,1,1,1,7,49,7.0,7,1.0,7.0,49,0,0,1,7.0,0.05735461801596351,0.877,acr1101,grid=[7]_threads=7,inf
